                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.33933,                0.62829,                0.91282,                0.84612,                0.80036,                0.90433,                0.72737,                0.90076,                 0.8335,                 1.3844,             0.00074062,             0.00074062,             0.00074062
                    133,                0.33293,                0.59047,                0.92426,                0.83498,                0.90614,                0.94968,                0.75586,                0.83955,                0.67642,                 1.2881,             0.00073864,             0.00073864,             0.00073864
                    134,                0.35206,                0.61338,                0.92926,                0.82489,                0.95315,                0.94947,                0.76954,                0.81489,                0.56686,                 1.2521,             0.00073666,             0.00073666,             0.00073666
                    135,                0.35202,                0.61014,                0.92108,                0.85311,                0.89457,                0.91731,                0.74706,                0.77563,                0.63361,                 1.2123,             0.00073468,             0.00073468,             0.00073468
                    136,                 0.3609,                0.57046,                0.92643,                0.89452,                0.91627,                 0.9451,                0.75845,                0.82762,                0.57647,                 1.2846,              0.0007327,              0.0007327,              0.0007327
                    137,                0.34609,                0.57514,                0.91863,                0.91975,                0.92361,                0.96478,                0.76635,                0.79445,                0.47496,                 1.2467,             0.00073072,             0.00073072,             0.00073072
                    138,                0.32779,                0.59191,                0.92245,                0.93196,                0.88846,                0.97681,                0.79294,                0.80569,                0.55156,                 1.2609,             0.00072874,             0.00072874,             0.00072874
                    139,                0.32058,                0.60178,                0.91061,                0.94289,                0.92326,                0.96177,                0.76776,                0.83269,                 0.5325,                 1.2542,             0.00072676,             0.00072676,             0.00072676
                    140,                0.35582,                0.58575,                0.92526,                0.84219,                 0.9434,                0.96072,                0.76199,                0.81634,                0.57305,                 1.2596,             0.00072478,             0.00072478,             0.00072478
                    141,                0.33931,                 0.5791,                0.91709,                0.93587,                0.94616,                0.97592,                0.78268,                0.80652,                0.47432,                 1.2799,              0.0007228,              0.0007228,              0.0007228
                    142,                0.35298,                0.60434,                0.92044,                0.92388,                  0.957,                0.96497,                0.74239,                0.87785,                0.50471,                 1.3114,             0.00072082,             0.00072082,             0.00072082
                    143,                0.34558,                0.56642,                0.91985,                0.97065,                0.93873,                0.97657,                0.77249,                0.84119,                0.47909,                 1.3493,             0.00071884,             0.00071884,             0.00071884
                    144,                0.33569,                0.59071,                0.91635,                0.83514,                0.96931,                0.95277,                0.76092,                0.83531,                0.59546,                 1.2831,             0.00071686,             0.00071686,             0.00071686
